regiao,cod_uf,uf_pad,uf_sigla,cod_regsaud,regiao_saude,cod_municipio,cod_municipiodv,municipio,ano,populacao
Região Centro-Oeste,52,GOIAS,GO,52004,Entorno Sul,520549,5205497,Cidade Ocidental,2020,72890
Região Centro-Oeste,52,GOIAS,GO,52011,Pirineus,520551,5205513,Cocalzinho de Goiás,2020,20504
Região Centro-Oeste,52,GOIAS,GO,52014,Serra da Mesa,520552,5205521,Colinas do Sul,2020,3360
Região Centro-Oeste,52,GOIAS,GO,52010,Oeste II,520570,5205703,Córrego do Ouro,2020,2290
Região Centro-Oeste,52,GOIAS,GO,52011,Pirineus,520580,5205802,Corumbá de Goiás,2020,11169
Região Centro-Oeste,52,GOIAS,GO,52005,Estrada de Ferro,520590,5205901,Corumbaíba,2020,9869
Região Centro-Oeste,52,GOIAS,GO,52004,Entorno Sul,520620,5206206,Cristalina,2020,60210
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,520630,5206305,Cristianópolis,2020,2964
Região Centro-Oeste,52,GOIAS,GO,52013,São Patrício I,520640,5206404,Crixás,2020,17044
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,520650,5206503,Cromínia,2020,3472
Região Centro-Oeste,52,GOIAS,GO,52005,Estrada de Ferro,520660,5206602,Cumari,2020,2837
Região Centro-Oeste,52,GOIAS,GO,52007,Nordeste II,520670,5206701,Damianópolis,2020,3306
Região Centro-Oeste,52,GOIAS,GO,52001,Central,520680,5206800,Damolândia,2020,2953
Região Centro-Oeste,52,GOIAS,GO,52005,Estrada de Ferro,520690,5206909,Davinópolis,2020,2094
Região Centro-Oeste,52,GOIAS,GO,52009,Oeste I,520710,5207105,Diorama,2020,2479
Região Centro-Oeste,52,GOIAS,GO,52016,Sudoeste II,520725,5207253,Doverlândia,2020,7247
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,520735,5207352,Edealina,2020,3688
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,520740,5207402,Edéia,2020,12467
Região Centro-Oeste,52,GOIAS,GO,52008,Norte,520750,5207501,Estrela do Norte,2020,3264
Região Centro-Oeste,52,GOIAS,GO,52012,Rio Vermelho,520753,5207535,Faina,2020,6576
Região Centro-Oeste,52,GOIAS,GO,52009,Oeste I,520760,5207600,Fazenda Nova,2020,5553
Região Centro-Oeste,52,GOIAS,GO,52010,Oeste II,520780,5207808,Firminópolis,2020,13449
Região Centro-Oeste,52,GOIAS,GO,52003,Entorno Norte,520790,5207907,Flores de Goiás,2020,17005
Região Centro-Oeste,52,GOIAS,GO,52003,Entorno Norte,520800,5208004,Formosa,2020,123684
Região Centro-Oeste,52,GOIAS,GO,52008,Norte,520810,5208103,Formoso,2020,4172
Região Centro-Oeste,52,GOIAS,GO,52011,Pirineus,520815,5208152,Gameleira de Goiás,2020,3880
Região Centro-Oeste,52,GOIAS,GO,52006,Nordeste I,520830,5208301,Divinópolis de Goiás,2020,4778
Região Centro-Oeste,52,GOIAS,GO,52011,Pirineus,520840,5208400,Goianápolis,2020,11224
Região Centro-Oeste,52,GOIAS,GO,52005,Estrada de Ferro,520850,5208509,Goiandira,2020,5625
Região Centro-Oeste,52,GOIAS,GO,52018,São Patrício II,520860,5208608,Goianésia,2020,71075
Região Centro-Oeste,52,GOIAS,GO,52001,Central,520870,5208707,Goiânia,2020,1536097
Região Centro-Oeste,52,GOIAS,GO,52001,Central,520880,5208806,Goianira,2020,45296
Região Centro-Oeste,52,GOIAS,GO,52012,Rio Vermelho,520890,5208905,Goiás,2020,22381
Região Centro-Oeste,52,GOIAS,GO,52017,Sul,520910,5209101,Goiatuba,2020,34202
